City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
175,Castro,BR,-24.7911,-50.0119,60.58,96,97,3.49,light rain
176,Luderitz,NA,-26.6481,15.1594,63.66,71,53,20.33,broken clouds
177,Mao,ES,39.8885,4.2658,68.56,94,40,3.44,scattered clouds
178,Bilma,NE,18.6853,12.9164,70.09,26,0,10.4,clear sky
179,Hami,CN,42.8,93.45,60.21,28,60,9.71,broken clouds
180,Barra Patuca,HN,15.8,-84.2833,77.58,86,90,3.29,light rain
181,Nkhotakota,MW,-12.9274,34.2961,79.77,49,57,12.57,broken clouds
182,Misratah,LY,32.3754,15.0925,71.19,60,3,6.17,clear sky
183,Grand Forks,US,47.9417,-97.4337,35.53,69,0,6.91,clear sky
184,Tocache,PE,-8.1842,-76.5125,69.01,98,90,0.47,overcast clouds
185,Namibe,AO,-15.1961,12.1522,65.05,84,41,7.23,scattered clouds
186,Dungarpur,IN,23.8333,73.7167,85.71,38,23,8.3,few clouds
187,Sisimiut,GL,66.9395,-53.6735,22.1,76,59,12.88,broken clouds
188,Dhidhdhoo,MV,6.8833,73.1,81.23,80,89,18.72,overcast clouds
189,Taltal,CL,-25.4,-70.4833,58.12,75,0,2.66,clear sky
190,Pacific Grove,US,36.6177,-121.9166,73.54,69,0,1.01,clear sky
191,Emba,KZ,48.8264,58.1442,55.87,38,67,16.98,broken clouds
192,Dunedin,NZ,-45.8742,170.5036,53.8,61,68,23.0,broken clouds
193,Gusau,NG,12.1628,6.6614,73.71,39,11,7.54,few clouds
194,Port Lincoln,AU,-34.7333,135.8667,65.84,61,8,10.63,clear sky
195,Heihe,CN,50.2441,127.4902,57.78,25,68,6.93,broken clouds
196,Seymchan,RU,62.8833,152.4333,13.17,85,100,5.68,overcast clouds
197,Debre Tabor,ET,11.85,38.0167,57.78,65,97,0.04,overcast clouds
198,Evensk,RU,61.95,159.2333,18.59,76,100,8.03,overcast clouds
199,Ostersund,SE,63.1792,14.6357,40.6,93,75,10.36,broken clouds
200,Road Town,VG,18.4167,-64.6167,82.49,75,5,14.12,clear sky
201,Bathsheba,BB,13.2167,-59.5167,81.21,89,20,10.36,few clouds
202,The Valley,AI,18.217,-63.0578,82.26,76,1,17.4,clear sky
203,Bratsk,RU,56.1325,101.6142,36.09,70,98,6.22,overcast clouds
204,Kidal,ML,18.4411,1.4078,74.23,27,70,9.17,broken clouds
205,Cherskiy,RU,68.75,161.3,13.6,99,83,2.44,broken clouds
206,Yar-Sale,RU,66.8333,70.8333,36.16,82,99,16.71,overcast clouds
207,Les Cayes,HT,18.2,-73.75,76.66,82,39,3.83,scattered clouds
208,Beringovskiy,RU,63.05,179.3167,36.77,82,53,9.78,broken clouds
209,Avarua,CK,-21.2078,-159.775,75.25,78,100,8.05,overcast clouds
210,Fereydun Kenar,IR,36.6864,52.5225,73.72,55,6,5.35,clear sky
211,Zaranj,AF,30.9667,61.8833,69.75,25,0,18.37,clear sky
212,Anadyr,RU,64.75,177.4833,37.9,87,40,11.18,scattered clouds
213,Longyearbyen,SJ,78.2186,15.6401,28.24,69,40,13.8,scattered clouds
214,Turayf,SA,31.6725,38.6637,72.36,40,75,9.48,broken clouds
215,Saurimo,AO,-9.6608,20.3916,67.68,83,89,0.67,overcast clouds
216,Christchurch,NZ,-43.5333,172.6333,68.2,28,3,17.27,clear sky
217,Xucheng,CN,20.35,110.1288,73.62,93,100,23.49,light rain
